team_name,rider1,rider2,rider3,rider4,rider5,rider6
JtB's hit squad 🔪,Jack Hartley,Max Krasinski,Huw Buck Jones,Lucy Harris,Corinne Side,Lucy Neatham
Lethal drizzle,Joe Shillabeer,Bradley Symonds,Dylan Westley,Beth Morrow,Ella Jamieson,Megan Anderson
Paul McCartney Racing Team,Matthew Lord,Harry Macfarlane,David Hird,Corinne Side,Erin Avill,Ella Tandy
Wirral racing,Sam Culverwell,Nathan Hardy,Jude Taylor,Lucy Glover,Lucy Lee,Isabel Darvill
Hors-choppers,Joshua Horsfield,Ryan Williams,Cai Davies,Grace Lister,Sammie Stuart,Rachel Galler
Chronic Fatigue,Nicholas Tyrie,Sam Culverwell,Bradley Symonds,Bexy Dew,Lucy Glover,Molly Patch
H Green’s jongens 🇧🇪,Sebastian Garry,Oliver Hucks,Cameron McLaren,Bee Townsend,Alive Butcher,Sammie Stuart
Pocket Rockets 24,Ollie Boarer,James Bevan,Rowan Baker,Lucy Glover,Jo Tindley,Rebecca Babbage
Velo739,Carl Stubbs,James McKay,Jake Jackson,Grace Reynolds,Robyn Clay,Lucy Ellmore
Hannay`s raggazzi,Nicholas Tyrie,Sam Culverwell,Tim Shoreman,Georgia Bullard,Arabella Blackburn,Beth Morrow
BP UnderPerformance,Ben Marsh,Matthew Lord,William Truelove,Robyn Clay,Elite Mitchinson,Danielle Khan
Non Frenchies,Matthew Lord,Toby Barnes,Dylan Westley,Beth Morrow,Morven Yeoman,Ellen Bennett
Non Frenchies,Matthew Lord,Toby Barnes,Dylan Westley,Beth Morrow,Morven Yeoman,Ellen Bennett
Bob the builder,Luke Barfoot,Joshua Price,James Hartley,Olivia French,Robyn Clay,Millie Jenkins
Russells Renners,Matthew Lord,Jude Taylor,Simon Alexander,Mary Wilkinson,Sammie Stuart,Hannah Farran
Bayeux Cycling Team,Daniel Barnes,Joseph Smith,Oliver Wood,Beth Morrow,Sophie Caldwell,Hannah Bayes
Six shlongs,Toby Barnes,Ben Marsh,Jake Jackson,Francesca Hall,Lucy Glover,Sophie Lewis
Philling The Scoreboard,Jake Jackson,Luke Barfoot,Alexander Richardson,Francesca Hall,Lucy Glover,Lucy Ellmore
Philling up the podium,Dom Jackson,Rowan Baker,Jim Brown,Beth Morrow,Carys Lloyd,Sophie Caldwell
Phill's Sweaty Feet,Rowan Baker,Edward Ayres,Matthew Lord,Robyn Clay,Lucy Harris,Amelia Cebak
Yorkshire Seadogs,Joe Shillabeer,James Hartley,Daniel Barnes,Hannah Bayes,Annabel Ramsay,Lucy Harris
AJ’s guys and gals,Toby Barnes,Daniel Barnes,Benjamin Bright,Beth Morrow,Anya Tamplin,Roisin Lally
Get ya Cipo out,Alexander Richardson,James McKay,Jude Taylor,Beth Morrow,Hope Inglis,Anya Tamplin
Phillthy Phingers,Dom Jackson,Toby Barnes,Joe Wilson,Francesca Hall,Lucy Ellmore,Lucy Glover
Ray’s Swinners,Jude Taylor,James McKay,Sam Culverwell,Sophie Thackray,Kiera Bond,Sophie Caldwell
